,A new system has been ordered to replace the existing national dispatching,Abstract,Accession Number,Alternate Journal,An application of the framework disaggregates 2030 NO emissions from a national electricity model in an eight-state region under two climate scenarios,Author,Author Address,Cited References Count,DOI,Date,ISSN,Issue,Journal,Keywords,Keywords_01,Keywords_02,Keywords_03,Keywords_04,Keywords_05,Keywords_06,Keywords_07,Keywords_08,Keywords_09,Keywords_10,Keywords_11,Keywords_12,Keywords_13,Keywords_14,Keywords_15,Keywords_16,Keywords_17,Keywords_18,Keywords_19,Keywords_20,Keywords_21,Keywords_22,Keywords_23,Keywords_24,Keywords_25,Keywords_26,Keywords_27,Keywords_28,Keywords_29,Keywords_30,Keywords_31,Keywords_32,Keywords_33,Keywords_34,Keywords_35,Keywords_36,Language,Learning trends are demonstrated for power restoration of,Many of the developed expert systems will be maintained or modified by utility engineers. This study proposes a methodology for maintaining rule-based expert systems. The following capabilities are incorporated,Notes,Our conclusions are the following,Pages,Record Number,Reference Type,Results using the proposed cumulant method are compared against results from Monte Carlo simulations (MCSs) based on a small test system. The Numerical Results section is broken into two sections,SIDE creates the single-line diagram and the general electric specifications. This process is guided by two techniques,Short Title,The Adams method is applied to the differential state variables,The algorithm is tested in two systems,The analysis and the procedure developed are tested on two systems,The constraints on emissions will be implemented by an allowance program,The new VBRP process is based on transmission system reliability evaluation and includes the following important elements,The new index was rigorously tested on different test systems. The results were obtained on a static two-bus test system and on the dynamic Belgian-French 32-bus test system that includes full dynamic models of all power-system components crucial to the voltage instability analysis. The results show advantages of the proposed index,The new simulator features,The optimal hydro scheduling problem is formulated as a large scale linear programming algorithm and is solved using a commercially-available linear programming package. The selected objective function requires minimization of the value of energy used by turbines and spilled during the study period.  Alternative formulations of the objective function are also discussed.  The system model incorporates the following elements,The proposed approach has been successfully tested on two power systems,The proposed infrastructure uses modern intelligent electronic devices (IEDs) named universal monitoring protection and control units (UMPCUs) that are capable of handling three key data sets for the component that they are attached to,The proposed procedure reduces the complexity by formulating the problem as a complementarity problem. A discussion is offered then on the specific problem of droop formulation,The proposed technique utilizes a combination of forecasts from several load forecasting models (sub-models). The parameter estimation may thus be split into two parts,The short note paper addresses new and evolving requirements placed on control center databases. Among the issues addressed are,The validity and effectiveness of the algorithm is verified by means of two examples,These algorithms have been designed by,This algorithm is applied to an important operational planning problem,This comparison demonstrates both theoretically and through simulation that,This paper addresses,This paper highlights the alternative to spilling wind to provide frequency response capability,This paper presents a multiobjective decision support model which allows the consideration of the main concerns that have an important role in LM,This system has the following features,Times Cited,Title,To this model we apply variable splitting and Lagrange relaxation to decompose the problem into one subproblem for the hydrological constraints and one subproblem for each hydro plant. In order to find feasible solutions we use a combination of network programming and heuristic search. The dual,Type 1,Type 2,URL,Volume,We found five aspects causing start-up costs,We propose a model composed of three elements,Year,probability,University,Country
52,,"Future power systems could benefit considerably from having a continuous real-time estimate of system inertia. If realized, this could provide reference inputs to proactive control and protection systems which could enhance not only system stability but also operational economics through, for example, more informed ancillary reserve planning using knowledge of prevailing system conditions and stability margins. Performing these predictions in real time is a significant challenge owing to the complex stochastic and temporal relationships between available measurements. This paper proposes a statistical model capable of estimating system inertia in real time through observed steady-state and relatively small frequency variations; it is trained to learn the features that inter-relate steady-state averaged frequency variations and system inertia, using historical system data demonstrated over two consecutive years. The proposed algorithm is formulated as a Gaussian Mixture Model with temporal dependence encoded as Markov chains. Applied to the U.K. power system, it produces an optimized mean squared error within 0.1 s(2) for 95% of the daily estimation if being calibrated on a half-hourly basis and maintains robustness through measurement interruptions of up to a period of two hours.",WOS:000382477600006,Ieee T Power Syst,,"Cao, X., Stephen, B., Abdulhadi, I. F., Booth, C. D. and Burt, G. M.","Univ Strathclyde, Dept Elect & Elect Engn, Glasgow G1 1XW, Lanark, Scotland",27,10.1109/Tpwrs.2015.2501458,Sep,0885-8950,5,Ieee Transactions on Power Systems,real-time inertia estimation,gaussian mixture models,markov chain,model training,frequency transients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Du8qb,,3394-3403,5773,Journal Article,,,Switching Markov Gaussian Models for Dynamic Power System Inertia Estimation,,,,,,,,,,,,,,,,,,,,,,0,Switching Markov Gaussian Models for Dynamic Power System Inertia Estimation,,,,<Go to ISI>://WOS:000382477600006,31,,,2016,,Univ Strathclyde,Scotland
704,,"This paper explores the impact that different network access arrangements have on the capacity factor of non-firm wind generator connections to distribution networks. Active network management (ANM) projects are increasing in application in distribution networks as the need to integrate distributed generation becomes a more serious challenge. An important aspect of ANM is the contractual arrangement of the participating generation developer and network operator parties. These are sometimes referred to as ""Principles of Access"" (PoA) and deals with the rights of the generator when curtailment of generation output is required to maintain the network within its limits. Currently, a Last in First Off (LIFO) PoA is implemented in most U.K. ANM deployments and is the prevailing PoA in the Orkney ANM scheme. The Orkney network is used in this paper as a case study to analyze different PoA and compare the renewable energy capacity factor (CF) which result from these arrangements. The archival value of this paper is in the application of optimal power flow (OPF) to the PoA analysis challenge, in the quantification of the impact of previously identified PoA and in the conclusions drawn on the implications of different PoA choices for ANM schemes at the current early stage of ANM deployment.",WOS:000353640300013,Ieee T Power Syst,,"Kane, L. and Ault, G. W.","Univ Strathclyde, Dept Elect & Elect Engn, Wind Energy Syst CDT, Glasgow G1 1XW, Lanark, Scotland",41,10.1109/Tpwrs.2014.2336862,Mar,0885-8950,2,Ieee Transactions on Power Systems,active network management,curtailment,distributed generation,optimal power flow,principles of access,flow,generation,operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Cg9mq,,672-679,6425,Journal Article,,,Evaluation of Wind Power Curtailment in Active Network Management Schemes,,,,,,,,,,,,,,,,,,,,,,1,Evaluation of Wind Power Curtailment in Active Network Management Schemes,,,,<Go to ISI>://WOS:000353640300013,30,,,2015,,Univ Strathclyde,Scotland
884,,A bottom-up modeling approach is presented that uses a Markov chain Monte Carlo (MCMC) method to develop demand profiles. The demand profiles are combined with the electrical characteristics of the appliance to create detailed time-varying models of residential loads suitable for the analysis of smart grid applications and low-voltage (LV) demand-side management. The results obtained demonstrate significant temporal variations in the electrical characteristics of LV customers that are not captured by existing load profile or load model development approaches. The software developed within this work is made freely available for use by the community.,WOS:000341190700019,Ieee T Power Syst,,"Collin, A. J., Tsagarakis, G., Kiprakis, A. E. and McLaughlin, S.","Univ Edinburgh, Sch Engn, Inst Energy Syst, Edinburgh EH9 3JL, Midlothian, Scotland",27,10.1109/Tpwrs.2014.2301949,Sep,0885-8950,5,Ieee Transactions on Power Systems,load modelling,low-voltage (lv) network,markov processes,power demand,residential load sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Ao2xl,,2180-2188,6605,Journal Article,,,Development of Low-Voltage Load Models for the Residential Load Sector,,,,,,,,,,,,,,,,,,,,,,9,Development of Low-Voltage Load Models for the Residential Load Sector,,,,<Go to ISI>://WOS:000341190700019,29,,,2014,,Univ Edinburgh,Scotland
1081,,"Active Network Management is a philosophy for the operation of distribution networks with high penetrations of renewable distributed generation. Technologies such as energy storage and flexible demand are now beginning to be included in Active Network Management (ANM) schemes. Optimizing the operation of these schemes requires consideration of intertemporal linkages as well as network power flow effects. Network effects are included in optimal power flow (OPF) solutions but this only optimizes for a single point in time. Dynamic optimal power flow (DOPF) is an extension of OPF to cover multiple time periods. This paper reviews the generic formulation of DOPF before developing a framework for modeling energy technologies with intertemporal characteristics in an ANM context. The framework includes the optimization of nonfirm connected generation, principles of access for nonfirm generators, energy storage, and flexible demand. Two objectives based on maximizing export and revenue are developed and a case study is used to illustrate the technique. Results show that DOPF is able to successfully schedule these energy technologies. DOPF schedules energy storage and flexible demand to reduce generator curtailment significantly in the case study. Finally, the role of DOPF in analyzing ANM schemes is discussed with reference to extending the optimization framework to include other technologies and objectives.",WOS:000329035000013,Ieee T Power Syst,,"Gill, S., Kockar, I. and Ault, G. W.","Univ Strathclyde, Wind Energy Syst Ctr Doctoral Training, Glasgow G1 1XW, Lanark, Scotland",33,10.1109/Tpwrs.2013.2279263,Jan,0885-8950,1,Ieee Transactions on Power Systems,active network management (anm),dynamic optimal power flow (dopf),energy storage,flexible demand,optimal power flow (opf),generation,systems,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,280MR,,121-131,6802,Journal Article,,,Dynamic Optimal Power Flow for Active Distribution Networks,,,,,,,,,,,,,,,,,,,,,,33,Dynamic Optimal Power Flow for Active Distribution Networks,,,,<Go to ISI>://WOS:000329035000013,29,,,2014,,Univ Strathclyde,Scotland
1240,,The existence of locally optimal solutions to the AC optimal power flow problem (OPF) has been a question of interest for decades. This paper presents examples of local optima on a variety of test networks including modified versions of common networks. We show that local optima can occur because the feasible region is disconnected and/or because of nonlinearities in the constraints. Standard local optimization techniques are shown to converge to these local optima. The voltage bounds of all the examples in this paper are between +/- 5% and +/- 10% off-nominal. The examples with local optima are available in an online archive (http://www.maths.ed.ac.uk/optenergy/LocalOpt/) and can be used to test local or global optimization techniques for OPF. Finally we use our test examples to illustrate the behavior of a recent semi-definite programming approach that aims to find the global solution of OPF.,WOS:000326184100130,Ieee T Power Syst,,"Bukhsh, W. A., Grothey, A., McKinnon, K. I. M. and Trodden, P. A.","Univ Edinburgh, Sch Math, Edinburgh EH9 3JZ, Midlothian, Scotland",26,10.1109/Tpwrs.2013.2274577,Nov,0885-8950,4,Ieee Transactions on Power Systems,global optimum,local optima,optimal power flow,optimization,algorithm,systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,241RD,,4780-4788,6961,Journal Article,,,Local Solutions of the Optimal Power Flow Problem,,,,,,,,,,,,,,,,,,,,,,29,Local Solutions of the Optimal Power Flow Problem,,,,<Go to ISI>://WOS:000326184100130,28,,,2013,,Univ Edinburgh,Scotland
1296,,"With increasing wind penetration, it is likely that wind power plant will be expected to provide frequency response in support of the power system, in particular some form of inertial response. In these circumstances it is important to accurately quantify the type of inertial response available from wind plant (typically a wind farm) and how it is affected by varying wind conditions. Two different control schemes to provide this ""synthetic"" inertial response are investigated. The benefits of the non-standard control scheme are demonstrated by comparing the response with the conventional ""ideal"" inertial control scheme that exactly emulates synchronous generators in terms of their provision of inertial response. This paper proposes a novel probabilistic approach for estimation of the aggregate inertial response available from a wind farm by using a Gaussian probability distribution to model wind turbulence. The aggregate inertial response calculated in this way has been examined at various mean wind speed levels and has the advantage that it automatically takes into account wind speed variations during the transient event itself.",WOS:000322989900024,Ieee T Power Syst,,"Wu, L. and Infield, D. G.","Univ Strathclyde, Dept Elect & Elect Engn, Glasgow G1 1XW, Lanark, Scotland",22,10.1109/Tpwrs.2012.2236365,Aug,0885-8950,3,Ieee Transactions on Power Systems,gaussian distribution,inertial response,power system operation,synthetic inertia,variable speed wind turbine,wind turbulence,wind variation,fixed-speed,turbines,generators,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,199JD,,2283-2291,7017,Journal Article,,,Towards an Assessment of Power System Frequency Support From Wind Plant-Modeling Aggregate Inertial Response,,,,,,,,,,,,,,,,,,,,,,15,Towards an Assessment of Power System Frequency Support From Wind Plant-Modeling Aggregate Inertial Response,,,,<Go to ISI>://WOS:000322989900024,28,,,2013,,Univ Strathclyde,Scotland
1405,,"This paper presents a system, PSDiagnosis, designed to automate the analysis of Supervisory, Control and Data Acquisition (SCADA) data for the assessment of power system protection performance. The model-based system exploits the theory of diagnosis through use of the General Diagnostic Engine (GDE). Models of protection devices combined with the GDE provide the ability to diagnose the maloperation of protection equipment: including multiple faults, missing alarms and new or previously unknown faults. The base requirements were determined in conjunction with a transmission system operator within the U. K. with a major task identified in reducing software maintenance while maintaining an accurate diagnostic result. The novel approaches taken in this system include the provision of dynamically configurable protection device models for reuse on a multitude of different network connections and the modification of the GDE to identify the occurrence of missing alarms. The approach taken ensures that the system is easy to update as the network, equipment and data formats evolve. This paper discusses the requirements, development and application of PSDiagnosis to the transmission network and the experience and results gained from the implementation of an online prototype.",WOS:000322989900054,Ieee T Power Syst,,"Edwards, C. J., Davidson, E. M., McArthur, S. D. J., Watt, I. and Cumming, T.","Univ Strathclyde, Inst Energy & Environm, Glasgow G1 1XW, Lanark, Scotland",27,10.1109/Tpwrs.2013.2243763,Aug,0885-8950,3,Ieee Transactions on Power Systems,alarm processing,decision support systems,fault diagnosis,intelligent systems,model-based systems,power transmission protection,fault-recorder data,system,transmission,diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,199JD,,2584-2591,7126,Journal Article,,,Flexible Model-Based Alarm Processing for Protection Performance Assessment and Incident Identification,,,,,,,,,,,,,,,,,,,,,,1,Flexible Model-Based Alarm Processing for Protection Performance Assessment and Incident Identification,,,,<Go to ISI>://WOS:000322989900054,28,,,2013,,Univ Strathclyde,Scotland
1558,,"There is concern that the levels of inertia in power systems may decrease in the future, due to increased levels of energy being provided from renewable sources, which typically have little or no inertia. Voltage source converters (VSC) used in high voltage direct current (HVDC) transmission applications are often deliberately controlled in order to de-couple transients to prevent propagation of instability between interconnected systems. However, this can deny much needed support during transients that would otherwise be available from system inertia provided by rotating plant.",WOS:000322139300072,Ieee T Power Syst,,"Zhu, J. B., Booth, C. D., Adam, G. P., Roscoe, A. J. and Bright, C. G.","Univ Strathclyde, Dept Elect & Elect Engn, Inst Energy & Environm, Glasgow G1 1XW, Lanark, Scotland",15,10.1109/Tpwrs.2012.2213101,May,0885-8950,2,Ieee Transactions on Power Systems,frequency response,hvdc converters,hvdc transmission control,inertia emulation,synthetic inertia,voltage source converter,turbine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,187SK,,1277-1287,7279,Journal Article,,,Inertia Emulation Control Strategy for VSC-HVDC Transmission Systems,,,,,,,,,,,,,,,,,,,,,,32,Inertia Emulation Control Strategy for VSC-HVDC Transmission Systems,,,,<Go to ISI>://WOS:000322139300072,28,,,2013,,Univ Strathclyde,Scotland
1618,,"This paper proposes a new breed of high-voltage dc (HVDC) transmission systems based on a hybrid multilevel voltage source converter (VSC) with ac-side cascaded H-bridge cells. The proposed HVDC system offers the operational flexibility of VSC-based systems in terms of active and reactive power control, black-start capability, in addition to improved ac fault ride-through capability and the unique feature of current-limiting capability during dc side faults. Additionally, it offers features such as smaller footprint and a larger active and reactive power capability curve than existing VSC-based HVDC systems, including those using modular multilevel converters. To illustrate the feasibility of the proposed HVDC system, this paper assesses its dynamic performance during steady-state and network alterations, including its response to ac and dc side faults.",WOS:000313965700036,Ieee T Power Syst,,"Adam, G. P., Ahmed, K. H., Finney, S. J., Bell, K. and Williams, B. W.","Univ Strathclyde, Power Elect Drives & Energy Convers Grp, Inst Energy & Environm, Glasgow G1 1XW, Lanark, Scotland",25,10.1109/Tpwrs.2012.2199337,Feb,0885-8950,1,Ieee Transactions on Power Systems,dc fault reverse blocking capability,hybrid multilevel converter with ac side cascaded h-bride cells,modular multilevel converter,voltage-source-converter high-voltage dc (vsc-hvdc) transmission system,multilevel converters,industrial applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,076OK,,335-346,7339,Journal Article,,,New Breed of Network Fault-Tolerant Voltage-Source-Converter HVDC Transmission System,,,,,,,,,,,,,,,,,,,,,,50,New Breed of Network Fault-Tolerant Voltage-Source-Converter HVDC Transmission System,,,,<Go to ISI>://WOS:000313965700036,28,,,2013,,Univ Strathclyde,Scotland
1704,,A model suitable for small-signal stability analysis and control design of multi-terminal dc networks is presented. A generic test network that combines conventional synchronous and offshore wind generation connected to shore via a dc network is used to illustrate the design of enhanced voltage source converter (VSC) controllers. The impact of VSC control parameters on network stability is discussed and the overall network dynamic performance assessed in the event of small and large perturbations. Time-domain simulations conducted in Matlab/Simulink are used to validate the operational limits of the VSC controllers obtained from the small-signal stability analysis.,WOS:000310389000011,Ieee T Power Syst,,"Kalcon, G. O., Adam, G. P., Anaya-Lara, O., Lo, S. and Uhlen, K.","Univ Strathclyde, Inst Energy & Environm, Glasgow G1 1XW, Lanark, Scotland",20,10.1109/Tpwrs.2012.2190531,Nov,0885-8950,4,Ieee Transactions on Power Systems,dc transmission,offshore wind generation,small-signal stability,voltage source converter,power-system,hvdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,027YC,,1818-1830,7425,Journal Article,,,Small-Signal Stability Analysis of Multi-Terminal VSC-Based DC Transmission Systems,,,,,,,,,,,,,,,,,,,,,,47,Small-Signal Stability Analysis of Multi-Terminal VSC-Based DC Transmission Systems,,,,<Go to ISI>://WOS:000310389000011,27,,,2012,,Univ Strathclyde,Scotland
