,Abstract,Accession Number,Alternate Journal,Author,Author Address,Cited References Count,DOI,Date,ISSN,Issue,Journal,Keywords,Keywords_01,Keywords_02,Keywords_03,Keywords_04,Keywords_05,Keywords_06,Keywords_07,Keywords_08,Keywords_09,Keywords_10,Keywords_11,Keywords_12,Keywords_13,Keywords_14,Keywords_15,Keywords_16,Keywords_17,Keywords_18,Language,Notes,Pages,Record Number,Reference Type,Short Title,Times Cited,Title,URL,Volume,Year
0,"In this paper, proper scheduling of the operation of multiple storage devices is sought so as to minimize the expected total cost (of conventional generation) in a power network with intermittent renewable generation. Since the power network constraints make it intractable to compute optimal storage operation policies through dynamic programming-based approaches, a Lyapunov optimization-based online algorithm (LOPN) is proposed, which makes decisions based only on the current state of the system (i.e., the current demand and renewable generation). The proposed algorithm is computationally simple and achieves asymptotic optimality (as the capacity of energy storage grows large). To improve the performance of the LOPN algorithm for the case with limited storage capacity, a threshold-based energy storage management (TESM) algorithm is proposed that utilizes the forecast information (on demand and renewable generation) over the next few time slots to make storage operation decisions. Numerical experiments are conducted on IEEE 6- and 9-bus test systems to validate the asymptotic optimality of LOPN, and compare the performance of LOPN and TESM. Numerical results show that TESM significantly outperforms LOPN when the storage capacity is relatively small.",WOS:000379696800035,Ieee T Smart Grid,"Lakshminarayana, S., Xu, Y. J., Poor, H. V. and Quek, T. Q. S.","Singapore Univ Technol & Design, Singapore 591401, Singapore",27,10.1109/Tsg.2016.2542367,Jul,1949-3053,4,Ieee Transactions on Smart Grid,energy storage,dc power network,lyapunov optimization,look-ahead policy,energy-storage,electricity market,,,,,,,,,,,,,,English,Dr1wy,2108-2122,14161,Journal Article,Cooperation of Storage Operation in a Power Network With Renewable Generation,0,Cooperation of Storage Operation in a Power Network With Renewable Generation,<Go to ISI>://WOS:000379696800035,7,2016
1,"A major challenge to implementing residential demand response is that of aligning the objectives of many households, each of which aims to minimize its payments and maximize its comfort level, while balancing this with the objectives of an aggregator that aims to minimize the cost of electricity purchased in a pooled wholesale market. This paper presents a fast distributed algorithm for aggregating a large number of households with a mixture of discrete and continuous energy levels. A distinctive feature of the method in this paper is that the non-convex demand response (DR) problem is decomposed in terms of households as opposed to devices, which allows incorporating more intricate couplings between energy storage devices, appliances, and distributed energy resources. The proposed method is a fast distributed algorithm applied to the double smoothed dual function of the adopted DR model. The method is tested on systems with up to 2560 households, each with 10 devices on average. The proposed algorithm is designed to terminate in 60 iterations irrespective of system size, which can be ideal for an on-line version of this problem. Moreover, numerical results show that with minimal parameter tuning, the algorithm exhibits a very similar convergence behavior throughout the studied systems and converges to near-optimal solutions, which corroborates its scalability.",WOS:000379696800034,Ieee T Smart Grid,"Mhanna, S., Chapman, A. C. and Verbic, G.","Univ Sydney, Sydney, NSW 2006, Australia",65,10.1109/Tsg.2016.2536740,Jul,1949-3053,4,Ieee Transactions on Smart Grid,dual decomposition,accelerated gradient methods,demand response aggregation,smoothing techniques,mixed-integer variables,smart grid,energy management,home energy management,side management,electric vehicles,optimization,price,decomposition,appliances,system,minimization,generation,,,English,Dr1wy,2094-2107,14162,Journal Article,A Fast Distributed Algorithm for Large-Scale Demand Response Aggregation,0,A Fast Distributed Algorithm for Large-Scale Demand Response Aggregation,<Go to ISI>://WOS:000379696800034,7,2016
2,"This paper gives a comprehensive discussion on applying the cloud computing technology as the new information infrastructure for the next-generation power system. First, this paper analyzes the main requirements of the future power grid on the information infrastructure and the limitations of the current information infrastructure. Based on this, a layered cloud-based information infrastructure model for next-generation power grid is proposed. Thus, this paper discussed how different categories of the power applications can benefit from the cloud-based information infrastructure. For the demonstration purpose, this paper develops three specific cloud-enabled power applications. The first two applications demonstrate how to develop practical compute-intensive and data-intensive power applications by utilizing different layered services provided by the state-of-the-art public cloud computing platforms. In the third application, we propose a cloud-based collaborative direct load control framework in a smart grid and show the merits of the cloud-based information infrastructure on it. Some cybersecurity considerations and the challenges and limitations of the cloud-based information infrastructure are also discussed.",WOS:000379696800013,Ieee T Smart Grid,"Luo, F. J., Zhao, J. H., Dong, Z. Y., Chen, Y. Y., Xu, Y., Zhang, X. and Wong, K. P.","Univ Newcastle, Ctr Intelligent Elect Networks, Newcastle, NSW 2308, Australia",67,10.1109/Tsg.2015.2452293,Jul,1949-3053,4,Ieee Transactions on Smart Grid,cloud computing,distributed computing,smart grid,energy-storage system,differential evolution,wind farm,model,optimization,environment,encryption,simulation,allocation,algorithm,,,,,,,English,Dr1wy,1896-1912,14163,Journal Article,"Cloud-Based Information Infrastructure for Next-Generation Power Grid: Conception, Architecture, and Applications",0,"Cloud-Based Information Infrastructure for Next-Generation Power Grid: Conception, Architecture, and Applications",<Go to ISI>://WOS:000379696800013,7,2016
3,"This paper proposes a framework for contingency management using smart loads, which are realized through the emerging paradigm of the Internet of things. The framework involves the system operator, the load serving entities (LSEs), and the end-users with smart home management systems that automatically control adjustable loads. The system operator uses an efficient linear equation solver to quickly calculate the load curtailment needed at each bus to relieve congested lines after a contingency. Given this curtailment request, an LSE calculates a power allowance for each of its end-use customers to maximize the aggregate user utility. This large-scale NP-hard problem is approximated to a convex optimization for efficient computation. A smart home management system determines the appliances allowed to be used in order to maximize the user's utility within the power allowance given by the LSE. Since the user's utility depends on the near-future usage of the appliances, the framework provides the Welch-based reactive appliance prediction (WRAP) algorithm to predict the user behavior and maximize utility. The proposed framework is validated using the New England 39-bus test system. The results show that power system components at risk can be quickly alleviated by adjusting a large number of small smart loads. Additionally, WRAP accurately predicts the users' future behavior, minimizing the impact on the aggregate users' utility.",WOS:000379696800037,Ieee T Smart Grid,"Ciavarella, S., Joo, J. Y. and Silvestri, S.","Sapienza Univ Rome, Dept Comp Sci, I-00100 Rome, Italy",21,10.1109/Tsg.2016.2529579,Jul,1949-3053,4,Ieee Transactions on Smart Grid,smart grid,internet of things,contingency management,energy management,demand response,management,power,,,,,,,,,,,,,English,Dr1wy,2134-2141,14164,Journal Article,Managing Contingencies in Smart Grids via the Internet of Things,0,Managing Contingencies in Smart Grids via the Internet of Things,<Go to ISI>://WOS:000379696800037,7,2016
4,,WOS:000379696800019,Ieee T Smart Grid,"Tajer, A., Dobson, I., Kar, S., Lavaei, J. and Xie, L.","Rensselaer Polytech Inst, Troy, NY USA",0,10.1109/Tsg.2016.2575418,Jul,1949-3053,4,Ieee Transactions on Smart Grid,,,,,,,,,,,,,,,,,,,,English,Dr1wy,1949-1950,14165,Journal Article,The Theory of Complex Systems With Applications to Smart Grid Operations,0,The Theory of Complex Systems With Applications to Smart Grid Operations,<Go to ISI>://WOS:000379696800019,7,2016
5,"Many critical infrastructures are interdependent networks in which the behavior of one network impacts those of the others. Despite the fact that interdependencies are essential for the operation of critical infrastructures, such interdependencies can negatively affect the reliability and fuel the cascade of failures within and across the networks. In this paper, a novel interdependent Markov-chain framework is proposed that enables capturing interdependencies between two critical infrastructures with the ultimate goal of predicting their resilience to cascading failures and characterizing the effects of interdependencies on system reliability. The framework is sufficiently general to model cascading failures in any interdependent networks; however, this paper focuses on the electric-cyber infrastructure as an example. Using this framework it is shown that interdependencies among reliable systems, i.e., systems with exponentially distributed failure sizes, can make the individually reliable systems behave unreliably as a whole with power-law failure-size distributions.",WOS:000379696800025,Ieee T Smart Grid,"Rahnamay-Naeini, M. and Hayat, M. M.","Texas Tech Univ, Lubbock, TX 79409 USA",17,10.1109/Tsg.2016.2539823,Jul,1949-3053,4,Ieee Transactions on Smart Grid,interdependent systems,critical infrastructures,cascading failures,markov chain,power-law distribution,,,,,,,,,,,,,,,English,Dr1wy,1997-2006,14166,Journal Article,Cascading Failures in Interdependent Infrastructures: An Interdependent Markov-Chain Approach,0,Cascading Failures in Interdependent Infrastructures: An Interdependent Markov-Chain Approach,<Go to ISI>://WOS:000379696800025,7,2016
6,"Electric vehicles (EVs) can be considered as flexible mobile battery storages in microgrids. For multiple microgrids in an area, coordinated scheduling on charging and discharging are required to avoid power exchange spikes between the multi-microgrid system and the main grid. In this paper, a two-stage integrated energy exchange scheduling strategy for multimicrogrid system is presented, which considers EVs as storage devices. Then, several dual variables, which are representative of the marginal cost of proper constraints, are utilized to form an updated price, thereby being a modification on the original electricity price. With this updated price signal, a price-based decentralized scheduling strategy is presented for the microgrid central controller. Simulation results show that the two-stage scheduling strategy reduces the electricity cost and avoids frequent transitions between battery charging/discharging states. With the proposed decentralized scheduling strategy, each microgrid only needs to solve its local problem and limits the total power exchange within the safe range.",WOS:000379696800001,Ieee T Smart Grid,"Wang, D., Guan, X. H., Wu, J., Li, P., Zan, P. and Xu, H.","Xi An Jiao Tong Univ, Sch Elect & Informat Engn, Key Lab Intelligent Networks & Network Secur, Minist Educ, Xian 710049, Peoples R China",42,10.1109/Tsg.2015.2438852,Jul,1949-3053,4,Ieee Transactions on Smart Grid,decentralized scheduling strategy,dual variable,electric vehicle (ev),energy exchange,microgrid,updated price signal,demand-side management,wind power-generation,microgrids,game,coordination,,,,,,,,,English,Dr1wy,1762-1774,14167,Journal Article,Integrated Energy Exchange Scheduling for Multimicrogrid System With Electric Vehicles,0,Integrated Energy Exchange Scheduling for Multimicrogrid System With Electric Vehicles,<Go to ISI>://WOS:000379696800001,7,2016
7,"The decarbonization of transport and heating will introduce uncertain smart appliance growth in the power system, which fundamentally challenges traditional network pricing. In this paper, a new long-term distribution network charging is proposed to accommodate uncertain load growth. Instead of using fixed a load growth rate (LGR), it adopts a fuzzy model, developed based on a set of projected deterministic LGRs and confidence levels. This fuzzy model is incorporated into the pricing model through a-cut intervals. In order to improve computational efficiency, an analytical pricing approach is introduced. The vertex extension approach is used to build charge membership functions. Thereafter, a common defuzzification approach, center of gravity, is employed to defuzzify membership functions in order to generate deterministic charges. The new approach is benchmarked with two existing standard charging methods on a practical U.K. high-voltage distribution system. Results show that it is effective in capturing the uncertainty in load growth.",WOS:000379696800016,Ieee T Smart Grid,"Gu, C. H., Yang, W. J., Song, Y. H. and Li, F. R.","Univ Bath, Dept Elect & Elect Engn, Bath BA2 7AY, Avon, England",33,10.1109/Tsg.2016.2518175,Jul,1949-3053,4,Ieee Transactions on Smart Grid,network pricing,load growth,fuzzy set,defuzzification,centre of gravity,distribution network,cost,,,,,,,,,,,,,English,Dr1wy,1932-1940,14168,Journal Article,Distribution Network Pricing for Uncertain Load Growth Using Fuzzy Set Theory,0,Distribution Network Pricing for Uncertain Load Growth Using Fuzzy Set Theory,<Go to ISI>://WOS:000379696800016,7,2016
8,"In this paper, we focus on the problems of load scheduling and power trading in systems with high penetration of renewable energy resources (RERs). We adopt approximate dynamic programming to schedule the operation of different types of appliances including must-run and controllable appliances. We assume that users can sell their excess power generation to other users or to the utility company. Since it is more profitable for users to trade energy with other users locally, users with excess generation compete with each other to sell their respective extra power to their neighbors. A game theoretic approach is adopted to model the interaction between users with excess generation. In our system model, each user aims to obtain a larger share of the market and to maximize its revenue by appropriately selecting its offered price and generation. In addition to yielding a higher revenue, consuming the excess generation locally reduces the reverse power flow, which impacts the stability of the system. Simulation results show that our proposed algorithm reduces the energy expenses of the users. The proposed algorithm also facilitates the utilization of RERs by encouraging users to consume excess generation locally rather than injecting it back into the power grid.",WOS:000379696800004,Ieee T Smart Grid,"Samadi, P., Wong, V. W. S. and Schober, R.","Univ British Columbia, Dept Elect & Comp Engn, Vancouver, BC V6T 2G9, Canada",33,10.1109/Tsg.2015.2435708,Jul,1949-3053,4,Ieee Transactions on Smart Grid,approximate dynamic programming,demand side management (dsm),load scheduling,power trading,demand response,generation,storage,optimization,consumption,uncertainty,management,scheme,impact,,,,,,,English,Dr1wy,1802-1812,14169,Journal Article,Load Scheduling and Power Trading in Systems With High Penetration of Renewable Energy Resources,1,Load Scheduling and Power Trading in Systems With High Penetration of Renewable Energy Resources,<Go to ISI>://WOS:000379696800004,7,2016
9,"A parametric controller is proposed for transient stability of synchronous generators after the occurrence of a disturbance in the power grid. The proposed controller based on feedback linearization control theory relies on receiving timely phasor measurement unit (PMU) information from selected parts of the power grid to employ fast acting flywheels that are situated near synchronous generators. The local storage devices aim to balance a swing equation model of the synchronous generator to drive the associated rotor speed to stability. The advantages of the proposed controller include that it is tunable and integrates well with existing governor controls in contrast to other forms of PMU-based control. Further, a comparison is drawn between the proposed controller and recently proposed nonlinear controllers for transient stabilization. Numerical results show the effectiveness and robustness of the proposed controller when applied to the 39-bus 10-generator New England power system.",WOS:000379696800009,Ieee T Smart Grid,"Farraj, A., Hammad, E. and Kundur, D.","Univ Toronto, Dept Elect & Comp Engn, Toronto, ON M5S 3G4, Canada",33,10.1109/Tsg.2015.2439580,Jul,1949-3053,4,Ieee Transactions on Smart Grid,cyber-physical systems,distributed control,phase cohesiveness,smart grid,system resilience,transient stability,transient stability,consensus,flocking,feedback,networks,,,,,,,,,English,Dr1wy,1856-1865,14170,Journal Article,A Cyber-Enabled Stabilizing Control Scheme for Resilient Smart Grid Systems,0,A Cyber-Enabled Stabilizing Control Scheme for Resilient Smart Grid Systems,<Go to ISI>://WOS:000379696800009,7,2016
