,2015,2016,2017,total
Appl Energ,3.0,13.0,21.0,37.0
machine learning,3.0,7.0,15.0,25.0
Ieee T Power Syst,5.0,4.0,9.0,18.0
model,0.0,6.0,6.0,12.0
wavelet transform,1.0,6.0,4.0,11.0
systems,3.0,4.0,4.0,11.0
prediction,2.0,4.0,5.0,11.0
classification,4.0,0.0,7.0,11.0
artificial neural-networks,2.0,4.0,4.0,10.0
extreme learning-machine,2.0,4.0,4.0,10.0
regression,1.0,3.0,6.0,10.0
optimization,1.0,4.0,4.0,9.0
Ieee T Smart Grid,2.0,4.0,3.0,9.0
extreme learning machine,1.0,3.0,4.0,8.0
algorithm,1.0,2.0,4.0,7.0
neural-networks,0.0,2.0,4.0,6.0
prediction intervals,1.0,2.0,3.0,6.0
performance,1.0,1.0,4.0,6.0
time-series,1.0,2.0,3.0,6.0
smart grids,2.0,2.0,2.0,6.0
demand response,0.0,2.0,3.0,5.0
quantile regression,0.0,3.0,2.0,5.0
consumption,0.0,3.0,2.0,5.0
wavelet,1.0,1.0,2.0,4.0
support vector machines,1.0,2.0,1.0,4.0
commercial buildings,0.0,1.0,3.0,4.0
data mining,1.0,0.0,3.0,4.0
neural-network,0.0,1.0,3.0,4.0
framework,0.0,2.0,2.0,4.0
machine,0.0,1.0,3.0,4.0
energy,1.0,0.0,3.0,4.0
wind power,2.0,0.0,2.0,4.0
artificial neural-network,0.0,1.0,2.0,3.0
neural network,0.0,2.0,1.0,3.0
support vector regression,0.0,2.0,1.0,3.0
energy consumption,1.0,2.0,0.0,3.0
uncertainty,0.0,1.0,2.0,3.0
decomposition,0.0,1.0,2.0,3.0
feature selection,0.0,1.0,2.0,3.0
deep learning,0.0,1.0,2.0,3.0
energy-consumption,0.0,0.0,3.0,3.0
identification,0.0,2.0,1.0,3.0
sensitivity-analysis,0.0,1.0,2.0,3.0
smart grid,0.0,1.0,2.0,3.0
dispatch,0.0,1.0,2.0,3.0
energy efficiency,0.0,1.0,2.0,3.0
empirical mode decomposition,2.0,0.0,1.0,3.0
simulation,0.0,0.0,3.0,3.0
models,0.0,0.0,3.0,3.0
big data,0.0,0.0,3.0,3.0
random forests,0.0,0.0,3.0,3.0
unit commitment,0.0,0.0,3.0,3.0
thermal comfort,0.0,2.0,0.0,2.0
building energy simulation,0.0,2.0,0.0,2.0
building energy consumption,0.0,2.0,0.0,2.0
least-squares regression,0.0,2.0,0.0,2.0
probabilistic forecasting,0.0,0.0,2.0,2.0
load,0.0,0.0,2.0,2.0
model-predictive control,0.0,2.0,0.0,2.0
ensemble method,0.0,2.0,0.0,2.0
energy management,0.0,2.0,0.0,2.0
mutual information,0.0,2.0,0.0,2.0
demand-side management,0.0,2.0,0.0,2.0
forecast,0.0,0.0,2.0,2.0
fault diagnosis,0.0,0.0,2.0,2.0
calibration,0.0,0.0,2.0,2.0
impact,0.0,0.0,2.0,2.0
management,0.0,0.0,2.0,2.0
data-driven,0.0,0.0,2.0,2.0
strategy,0.0,0.0,2.0,2.0
arima,0.0,1.0,1.0,2.0
nsga-ii,0.0,0.0,2.0,2.0
system,0.0,0.0,2.0,2.0
power-systems,0.0,0.0,2.0,2.0
power,0.0,0.0,2.0,2.0
smart meter,0.0,0.0,2.0,2.0
speed prediction,0.0,0.0,2.0,2.0
surrogate model,0.0,0.0,2.0,2.0
power-system,0.0,1.0,1.0,2.0
residential buildings,0.0,1.0,1.0,2.0
demand,0.0,0.0,2.0,2.0
wind power-generation,0.0,1.0,1.0,2.0
forecasting,0.0,1.0,1.0,2.0
natural ventilation,0.0,1.0,1.0,2.0
meta-model,0.0,0.0,2.0,2.0
uncertainty analysis,0.0,1.0,1.0,2.0
wavelet design,0.0,1.0,1.0,2.0
machines,0.0,0.0,2.0,2.0
energy prediction,0.0,0.0,2.0,2.0
hong-kong,0.0,1.0,1.0,2.0
hybrid arima,0.0,1.0,1.0,2.0
energy storage,0.0,1.0,1.0,2.0
particle swarm optimization,1.0,0.0,1.0,2.0
thermal performance,0.0,0.0,2.0,2.0
transient stability,1.0,0.0,1.0,2.0
generation,1.0,0.0,1.0,2.0
power-generation,1.0,1.0,0.0,2.0
state-of-charge,1.0,0.0,1.0,2.0
fluctuations,1.0,0.0,1.0,2.0
support vector machine,1.0,1.0,0.0,2.0
sample entropy,2.0,0.0,0.0,2.0
filter,0.0,0.0,1.0,1.0
energy performance,0.0,0.0,1.0,1.0
extreme events,0.0,0.0,1.0,1.0
nonnegative tensor factorization,0.0,0.0,1.0,1.0
i-v characteristics,0.0,0.0,1.0,1.0
system pattern region,0.0,0.0,1.0,1.0
extreme transfer learning,0.0,0.0,1.0,1.0
system modeling,0.0,0.0,1.0,1.0
system identification,0.0,0.0,1.0,1.0
feature-extraction,0.0,0.0,1.0,1.0
bayesian-analysis,0.0,0.0,1.0,1.0
wind energy,0.0,0.0,1.0,1.0
